kernel	vgpr	sgpr	lds_bytes	scratch_bytes	max_wg
23mul_mat_vec_q8_0_gfx906PKvS0_Pfjjj15HIP_vector_typeIjLj3EEjjjS3_jjj	21	32	0	0	64
23mul_mat_vec_q4_0_gfx906PKvS0_Pfjjj15HIP_vector_typeIjLj3EEjjjS3_jjj	23	32	0	0	64
25mul_mat_vec_iq4_nl_gfx906PKvS0_Pfjjj15HIP_vector_typeIjLj3EEjjjS3_jjj	29	32	0	0	64
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi16ELi32ELb1	62	42	1536	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi16ELi32ELb0	36	32	1536	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi16ELi128ELb1	69	42	6144	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi16ELi128ELb0	47	32	6144	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi16ELi64ELb1	69	42	3072	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi16ELi64ELb0	47	32	3072	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi8ELi32ELb1	69	42	1536	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi8ELi32ELb0	47	32	1536	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi8ELi128ELb1	69	42	6144	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi8ELi128ELb0	47	32	6144	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi8ELi64ELb1	69	42	3072	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi1ELi8ELi64ELb0	47	32	3072	0	256
30mul_mat_vec_q4_0_breit2_gfx906ILi2ELi16ELi32	65	34	3072	0	256
30mul_mat_vec_q4_0_breit2_gfx906ILi2ELi16ELi64	62	40	6144	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi2ELi16ELi32ELb0	47	32	3072	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi2ELi16ELi128ELb0	45	36	12288	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi2ELi16ELi64ELb0	48	36	6144	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi2ELi8ELi32ELb0	48	36	3072	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi2ELi8ELi128ELb0	45	36	12288	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi2ELi8ELi64ELb0	48	36	6144	0	256
30mul_mat_vec_q4_0_breit2_gfx906ILi3ELi16ELi32	75	34	4608	0	256
30mul_mat_vec_q4_0_breit2_gfx906ILi3ELi16ELi64	76	36	9216	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi3ELi16ELi32ELb0	42	32	4608	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi3ELi16ELi128ELb0	50	36	18432	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi3ELi16ELi64ELb0	47	36	9216	0	256
